,sentimen,before,after
1373,netral,"Di Dunia cuma ada 5 yg tidak di gaji jadi kepala negara, dan yg ke 6 Prabowo-Sandi... #TusukPrabowoSandi","Di Dunia cuma ada 5 yg tidak di gaji jadi kepala negara, dan yg ke 6 Prabowo-Sandi... Tusuk Prabowo Sandi"
1380,negatif,"Om Wowo menyebut kesalahan arah ekonomi Indonesia tidak semata salah @jokowi, tetapi juga presiden-presiden sebelumnya.  https://bit.ly/2DgcEp3Â   Wah kacau #PrabowoSalahkanSBY @bocahsosmed @sukangetweet @saaebunglon","Om Wowo menyebut kesalahan arah ekonomi Indonesia tidak semata salah @jokowi, tetapi juga presiden-presiden sebelumnya. https://bit.ly/2DgcEp3Â Wah kacau Prabowo Salahkan SBY @bocahsosmed @sukangetweet @saaebunglon"
1383,negatif,"#PrabowoSalahkanSBY Pak @jokowi menjelaskan apa yang telah capres 02 paparkan dalam persoalan keuangan dan Investasi itu sangat membahayakan dan sangat di luar nalar, yang akan mengakibatkan Shock Ekonomi, tentunya kita tidak ingin hal itu terjadi,","Prabowo Salahkan SBY Pak @jokowi menjelaskan apa yang telah capres 02 paparkan dalam persoalan keuangan dan Investasi itu sangat membahayakan dan sangat di luar nalar, yang akan mengakibatkan Shock Ekonomi, tentunya kita tidak ingin hal itu terjadi,"
1384,netral,"Pak Wowo dalam debat mengatakan, orientasi ekonomi Indonesia tidak berada di jalur yg benar akibat ulah Presiden2 sebelum Pak @jokowi.   https://bit.ly/2PbAB5SÂ  Jokowi tidak bersalah. #PrabowoSalahkanSBY @jokowi tidak bersalah","Pak Wowo dalam debat mengatakan, orientasi ekonomi Indonesia tidak berada di jalur yg benar akibat ulah Presiden2 sebelum Pak @jokowi. https://bit.ly/2PbAB5SÂ Jokowi tidak bersalah. Prabowo Salahkan SBY @jokowi tidak bersalah"
1385,netral,"Dalam debat, Om Wowo menilai kegagalan perekonomian saat ini bukan hanya menjadi tanggung jawab capres petahana @jokowi  Wah kacau #PrabowoSalahkanSBY @bocahsosmed @sukangetweet @saaebunglon","Dalam debat, Om Wowo menilai kegagalan perekonomian saat ini bukan hanya menjadi tanggung jawab capres petahana @jokowi Wah kacau Prabowo Salahkan SBY @bocahsosmed @sukangetweet @saaebunglon"
1387,negatif,"Kata Wowo kesalahan arah ekonomi yang mengakibatkan terjadinya deindustrialisasi adalah salah semua pihak. Termasuk presiden sebelum @jokowi . Lah, ekonomi Indonesia masa Pak @jokowi baik-baik aja tuh. Malah ngehoaks dengan menyalahkan Presiden terdahulu. #PrabowoSalahkanSBY pic.twitter.com/0zS1dmjUly","Kata Wowo kesalahan arah ekonomi yang mengakibatkan terjadinya deindustrialisasi adalah salah semua pihak. Termasuk presiden sebelum @jokowi . Lah, ekonomi Indonesia masa Pak @jokowi baik-baik aja tuh. Malah ngehoaks dengan menyalahkan Presiden terdahulu. Prabowo Salahkan SBY pic.twitter.com/0zS1dmjUly"
1392,netral,Pengusaha Puji Kinerja Ekonomi di Era Jokowi #01IndonesiaMaju #KerjaNyataJokowi https://economy.okezone.com/read/2019/04/11/320/2042231/pengusaha-puji-kinerja-ekonomi-di-era-jokowiÂ â€¦,Pengusaha Puji Kinerja Ekonomi di Era Jokowi 01Indonesia Maju Kerja Nyata Jokowi https://economy.okezone.com/read/2019/04/11/320/2042231/pengusaha-puji-kinerja-ekonomi-di-era-jokowiÂ â€¦
1393,netral,"Wowo dalam debat mengatakan, orientasi ekonomi Indonesia tidak berada di jalur yang benar akibat ulah Presiden2 sebelum Pak @jokowi.  https://bit.ly/2PbAB5SÂ  #PrabowoSalahkanSBY","Wowo dalam debat mengatakan, orientasi ekonomi Indonesia tidak berada di jalur yang benar akibat ulah Presiden2 sebelum Pak @jokowi. https://bit.ly/2PbAB5SÂ Prabowo Salahkan SBY"
1394,negatif,Gaji kecil gadiambil tp tunjangan milyaran/bln diambil kan MUNAFIK Jd Pres bisa KKN Monopoli Markup u lunasin utng Petusahaan Wo rugi 14T uno saratoga rugi 6T Urus Perusahaan sj rugi ntar urus Neg Punah #02menangRadikalOrbaAsengBerkuasa #WoWinPANCASiLAvsKilafahWAR #WoWinIndPunah pic.twitter.com/S0mpVULJDE,Gaji kecil gadiambil tp tunjangan milyaran/bln diambil kan MUNAFIK Jd Pres bisa KKN Monopoli Markup u lunasin utng Petusahaan Wo rugi 14T uno saratoga rugi 6T Urus Perusahaan sj rugi ntar urus Neg Punah 02menang Radikal Orba Aseng Berkuasa Wo Win PANCASi LAvs Kilafah WAR Wo Win Ind Punah pic.twitter.com/S0mpVULJDE
1396,negatif,"Jdi bung @RachlanNashidik , ekonomi indonesia hancur itu ulah SBY ya, bkn Jokowi. SBY dua periode tdk mampu mmbuat rakyat sejahtera.. Ekonomi bobrok...itu kata pk Prabowo yg dismpaiknnya penuh semgat. #jgnpilihdemokrat","Jdi bung @RachlanNashidik , ekonomi indonesia hancur itu ulah SBY ya, bkn Jokowi. SBY dua periode tdk mampu mmbuat rakyat sejahtera.. Ekonomi bobrok...itu kata pk Prabowo yg dismpaiknnya penuh semgat. jgnpilihdemokrat"
1397,netral,"Ketua TKN @jokowi @KHMarufAmin_ Erick Thohir, menyayangkan pernyataan calon oposisi Om Wowo yang menyalahkan para presiden sebelum Jokowi soal perekonomian negara.  Wah kacau #PrabowoSalahkanSBY @bocahsosmed @sukangetweet @saaebunglon","Ketua TKN @jokowi @KHMarufAmin_ Erick Thohir, menyayangkan pernyataan calon oposisi Om Wowo yang menyalahkan para presiden sebelum Jokowi soal perekonomian negara. Wah kacau Prabowo Salahkan SBY @bocahsosmed @sukangetweet @saaebunglon"
1398,positif,Gaji prabowo dan sandi akan disumbangkan... Inilah pemimpin  #2019GantiPresiden,Gaji prabowo dan sandi akan disumbangkan... Inilah pemimpin 2019Ganti Presiden
1400,netral,"Jokowi-Prabowo Takut Blunder, Masalah Ekonomi Tak Terkupas #DebatPilpres2019 #DebatTerakhirPilpres2019 http://cnn.id/386178?utm_source=twitter&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmedÂ â€¦","Jokowi-Prabowo Takut Blunder, Masalah Ekonomi Tak Terkupas Debat Pilpres2019 Debat Terakhir Pilpres2019 http://cnn.id/386178?utm_source=twitter&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmedÂ â€¦"
1409,netral,VIDEO: Jokowi Sebut Nilai Ekonomi Gamers Capai Belasan Triliun #01IndonesiaMaju #KerjaNyataJokowi https://m.liputan6.com/news/read/3941193/video-jokowi-sebut-nilai-ekonomi-gamers-capai-belasan-triliunÂ â€¦,VIDEO: Jokowi Sebut Nilai Ekonomi Gamers Capai Belasan Triliun 01Indonesia Maju Kerja Nyata Jokowi https://m.liputan6.com/news/read/3941193/video-jokowi-sebut-nilai-ekonomi-gamers-capai-belasan-triliunÂ â€¦
1417,netral,Pernyataan capres @prabowo bhwa kesalahan ekonomi di Indonesia saat ini terjadi bukan semata karena kesalahan calon presiden petahana Jokowi tp kesalahan Presiden2 sebelumnya membuat banyak orang terkejut krn seolah2 #PrabowoSalahkanSBY juga ðŸ¤”ðŸ™„ pic.twitter.com/Y3pxbOeglp,Pernyataan capres @prabowo bhwa kesalahan ekonomi di Indonesia saat ini terjadi bukan semata karena kesalahan calon presiden petahana Jokowi tp kesalahan Presiden2 sebelumnya membuat banyak orang terkejut krn seolah2 Prabowo Salahkan SBY juga ðŸ¤”ðŸ™„ pic.twitter.com/Y3pxbOeglp
1421,positif,Pertama dlm sejarah Indonesia presiden dan wakil presiden tidak ambil gaji malah diserahkan pd negara. Dan mungkin ini yg pertama di dunia yg keduanya tidak ambil gaji Barokallah @prabowo dan @sandiuno semoga amanah demi masa depan negara #2019PrabowoPresidenRI https://twitter.com/IsmanTengku/status/1117200671940288513Â â€¦,Pertama dlm sejarah Indonesia presiden dan wakil presiden tidak ambil gaji malah diserahkan pd negara. Dan mungkin ini yg pertama di dunia yg keduanya tidak ambil gaji Barokallah @prabowo dan @sandiuno semoga amanah demi masa depan negara 2019Prabowo Presiden RI https://twitter.com/IsmanTengku/status/1117200671940288513Â â€¦
1424,positif,"Allah SWT sdh begitu baik kpd prabowo sandi. Msyarakat indonesia telah memberi ruang seluas luasna Kami brkomitmen brdua utk kami tdk akan mengambil gaji serupiah pun jika kami mendptkan amanah ini. Kami akan mberikannya kpd negara, kaum yatim & kaum duafa. #TPSTusukPrabowoSandi","Allah SWT sdh begitu baik kpd prabowo sandi. Msyarakat indonesia telah memberi ruang seluas luasna Kami brkomitmen brdua utk kami tdk akan mengambil gaji serupiah pun jika kami mendptkan amanah ini. Kami akan mberikannya kpd negara, kaum yatim & kaum duafa. TPSTusuk Prabowo Sandi"
1426,negatif,Pakta integritas wo Pulangkan Nb Brizik jd Menag Kilafah Bebaskan ulama kriminal #PrabowoketurunanKafirCinaMonster  Hpl psl 33 tp #WoUnoOrbaKuasaiLahanLuasSimpanDiPanamaSerakahGaNasionalis  Gaji gadiambil tp tunjangan Milyaran/bln diambil MUNAFIK #02menangRadikalOrbaAsengBerkuasa pic.twitter.com/8zd2lyAQIV,Pakta integritas wo Pulangkan Nb Brizik jd Menag Kilafah Bebaskan ulama kriminal Prabowoketurunan Kafir Cina Monster Hpl psl 33 tp Wo Uno Orba Kuasai Lahan Luas Simpan Di Panama Serakah Ga Nasionalis Gaji gadiambil tp tunjangan Milyaran/bln diambil MUNAFIK 02menang Radikal Orba Aseng Berkuasa pic.twitter.com/8zd2lyAQIV
1432,netral,"Prabowo-Sandi: Kami komit tidak mengambil gaji  ""Allah SWT begitu baik kepada Prabowo-Sandi, Indonesia, memberikan keleluasan kepada kami, kami komit tidak mengambil gaji, kami akan setorkan kepada negara,"" ~@sandiuno~   #TusukPrabowoSandi pic.twitter.com/fsTUsg4WKc","Prabowo-Sandi: Kami komit tidak mengambil gaji ""Allah SWT begitu baik kepada Prabowo-Sandi, Indonesia, memberikan keleluasan kepada kami, kami komit tidak mengambil gaji, kami akan setorkan kepada negara,"" ~@sandiuno~ Tusuk Prabowo Sandi pic.twitter.com/fsTUsg4WKc"
1437,negatif,Tema debat semalam itu tentang PEREKONOMIAN... kenapa paslon01 melenceng nanyain #Mobilelegend & #PUBG  Rakyat  butuh #hargasembakomurah #hargabbmmurah #listrikmurah. Bukan main game? Apa main game gratis? #KapalOlengJendral @prabowo @sandiuno #kuotamahal,Tema debat semalam itu tentang PEREKONOMIAN... kenapa paslon01 melenceng nanyain Mobilelegend & PUBG Rakyat butuh hargasembakomurah hargabbmmurah listrikmurah. Bukan main game? Apa main game gratis? Kapal Oleng Jendral @prabowo @sandiuno kuotamahal
1442,netral,Junjungannya tahu ekonomi makro main mobile legend deh #YourTurnBro,Junjungannya tahu ekonomi makro main mobile legend deh Your Turn Bro
1444,negatif,#PrabowoSalahkanSBY  https://bit.ly/2UyAoiRÂ  Info Nih PS bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tp salah pemimpin2 terdahulu. Jd utk penggemar 02 jgn salahkan Jokowi lagi ya   @sukangetweet @bocahsosmed @saaebunglon,Prabowo Salahkan SBY https://bit.ly/2UyAoiRÂ Info Nih PS bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tp salah pemimpin2 terdahulu. Jd utk penggemar 02 jgn salahkan Jokowi lagi ya @sukangetweet @bocahsosmed @saaebunglon
1448,positif,Closing Yang Cetar Membahana.ðŸ˜  Mau cari kerja gampang? Mau Pemerintahan bersih? Mau Harga-harga bahan pokok terjangkau? Mau Harga listrik turun? Mau BPJS diperbaiki? AYOK ke TPS = Tusuk Prabowo Sandi ðŸ‡²ðŸ‡¨ðŸ‘†ðŸ‘‡ #TusukPrabowoSandi @prabowo @sandiuno pic.twitter.com/44GjBatwVd,Closing Yang Cetar Membahana.ðŸ˜ Mau cari kerja gampang? Mau Pemerintahan bersih? Mau Harga-harga bahan pokok terjangkau? Mau Harga listrik turun? Mau BPJS diperbaiki? AYOK ke TPS = Tusuk Prabowo Sandi ðŸ‡²ðŸ‡¨ðŸ‘†ðŸ‘‡ Tusuk Prabowo Sandi @prabowo @sandiuno pic.twitter.com/44GjBatwVd
1450,positif,"Info Nih Semakin mantap pilih @jokowi.  https://bit.ly/2X8pIEvÂ  Ketika paslon 01 bahas ekonomi makro secara global, paslon 02 jawabnya seperti anak bayi yang nggak ngerti apa2. @sukangetweet @bocahsosmed @saaebunglon #PrabowoSalahkanSBY","Info Nih Semakin mantap pilih @jokowi. https://bit.ly/2X8pIEvÂ Ketika paslon 01 bahas ekonomi makro secara global, paslon 02 jawabnya seperti anak bayi yang nggak ngerti apa2. @sukangetweet @bocahsosmed @saaebunglon Prabowo Salahkan SBY"
1452,positif,Capres 02 bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tapi salah pemimpin2 terdahulu. Jd utk penggemar 02 jangan salahkan pak @jokowi lagi ya krn bosmu udah bilang itu bukan salah @jokowi tapi #PrabowoSalahkanSBY . https://bit.ly/2UyAoiRÂ ,Capres 02 bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tapi salah pemimpin2 terdahulu. Jd utk penggemar 02 jangan salahkan pak @jokowi lagi ya krn bosmu udah bilang itu bukan salah @jokowi tapi Prabowo Salahkan SBY . https://bit.ly/2UyAoiRÂ
1455,positif,"Clossing Statement Prabowo-Sandi, Subhanallah... ~ Tidak akan ambil gaji serupiah-pun ~ Gaji akan diberikan kpd kaum dhuafa yatim piatu, Subhanallah  ~ Melaksanakan Pakta Integritas hasil itjima ulama, Masya Allah   Allahu Akbar ðŸ™ðŸ½âœŠðŸ‘†ðŸ» #BeraniPilih02 pic.twitter.com/YTghYRkIao","Clossing Statement Prabowo-Sandi, Subhanallah... ~ Tidak akan ambil gaji serupiah-pun ~ Gaji akan diberikan kpd kaum dhuafa yatim piatu, Subhanallah ~ Melaksanakan Pakta Integritas hasil itjima ulama, Masya Allah Allahu Akbar ðŸ™ðŸ½âœŠðŸ‘†ðŸ» Berani Pilih02 pic.twitter.com/YTghYRkIao"
1456,positif,"Yes, saya akan memilih capres dan cawapres yang nggak akan mengambil gaji satu rupiah pun! ðŸ‘‰ 17 April ke TPS kuy Tusuk Prabowo SandiðŸ‘Š #DebatFinalPilpres2019 #HoaxJkwMenangTotalDebat pic.twitter.com/7kOY5L4QtQ","Yes, saya akan memilih capres dan cawapres yang nggak akan mengambil gaji satu rupiah pun! ðŸ‘‰ 17 April ke TPS kuy Tusuk Prabowo SandiðŸ‘Š Debat Final Pilpres2019 Hoax Jkw Menang Total Debat pic.twitter.com/7kOY5L4QtQ"
1458,netral,"Ekonomi Salah Arah, Prabowo Salahkan Presiden-Presiden Sebelum Jokowi #PrabowoSalahkanSBY https://www.jawapos.com/ekonomi/bisnis/13/04/2019/ekonomi-salah-arah-prabowo-salahkan-presiden-presiden-sebelum-jokowi/Â â€¦","Ekonomi Salah Arah, Prabowo Salahkan Presiden-Presiden Sebelum Jokowi Prabowo Salahkan SBY https://www.jawapos.com/ekonomi/bisnis/13/04/2019/ekonomi-salah-arah-prabowo-salahkan-presiden-presiden-sebelum-jokowi/Â â€¦"
1459,positif,"Alhamdulillah,smoga terlaksana cita2 #prabowosandi.Aamiin  ""Janji Tak Ambil Gaji Jika Menang Pilpres,Prabowo:Bukti Kita Tulus"" #PrabowoSandiMenangDebat #HoaxJkwMenangTotalDebat pic.twitter.com/H4nHVGgVtD","Alhamdulillah,smoga terlaksana cita2 prabowosandi.Aamiin ""Janji Tak Ambil Gaji Jika Menang Pilpres,Prabowo:Bukti Kita Tulus"" Prabowo Sandi Menang Debat Hoax Jkw Menang Total Debat pic.twitter.com/H4nHVGgVtD"
1473,negatif,Pilih Pemimpin yang mengabdi bukan seperti jokowi ngemis gaji ðŸ˜ #BeraniPilih02 pic.twitter.com/f2ptPOiGQk,Pilih Pemimpin yang mengabdi bukan seperti jokowi ngemis gaji ðŸ˜ Berani Pilih02 pic.twitter.com/f2ptPOiGQk
1494,netral,"Ardy merespon pernyataan yang dilontarkan capres 02 saat berdebat soal kondisi ekonomi Indonesia yang dinilainya slah. Bowo mengaku tdk menyalahkan Jokowi,ini merupakan salah semua pihak, termasuk kesalahan presiden sebelum Jokowi  https://bit.ly/2P9hitDÂ  #PrabowoSalahkanSBY","Ardy merespon pernyataan yang dilontarkan capres 02 saat berdebat soal kondisi ekonomi Indonesia yang dinilainya slah. Bowo mengaku tdk menyalahkan Jokowi,ini merupakan salah semua pihak, termasuk kesalahan presiden sebelum Jokowi https://bit.ly/2P9hitDÂ Prabowo Salahkan SBY"
1498,netral,Info Nih PS bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tp salah pemimpin2 terdahulu. Jd utk penggemar 02 jangan salahkan Jokowi lagi ya  https://bit.ly/2UyAoiRÂ  @sukangetweet @bocahsosmed @saaebunglon #PrabowoSalahkanSBY,Info Nih PS bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tp salah pemimpin2 terdahulu. Jd utk penggemar 02 jangan salahkan Jokowi lagi ya https://bit.ly/2UyAoiRÂ @sukangetweet @bocahsosmed @saaebunglon Prabowo Salahkan SBY
1501,netral,"Kata Wowo kesalahan arah ekonomi yang mengakibatkan terjadinya deindustrialisasi adlh salah semua pihak. Termasuk presiden-presiden sebelum Jokowi. Lah, ekonomi Indonesia masa Pak Jokowi baik-baik aja tuh. Malah ngehoaks dengan menyalahkan Presiden terdahulu. #PrabowoSalahkanSBY","Kata Wowo kesalahan arah ekonomi yang mengakibatkan terjadinya deindustrialisasi adlh salah semua pihak. Termasuk presiden-presiden sebelum Jokowi. Lah, ekonomi Indonesia masa Pak Jokowi baik-baik aja tuh. Malah ngehoaks dengan menyalahkan Presiden terdahulu. Prabowo Salahkan SBY"
1503,negatif,"Info Nih Ketika paslon 01 bahas ekonomi makro scr global, paslon 02 jawabnya sprti anak bayi yg nggak ngerti apa2. Hanya bisa lihat ini itu tp masih belajar utk memahami suatu pernyataan.   https://bit.ly/2X8pIEvÂ  #PrabowoSalahkanSBY @jokowi.@sukangetweet @bocahsosmed @saaebunglon","Info Nih Ketika paslon 01 bahas ekonomi makro scr global, paslon 02 jawabnya sprti anak bayi yg nggak ngerti apa2. Hanya bisa lihat ini itu tp masih belajar utk memahami suatu pernyataan. https://bit.ly/2X8pIEvÂ Prabowo Salahkan SBY @jokowi.@sukangetweet @bocahsosmed @saaebunglon"
1507,netral,Tolong yang bilang jokowi gak ngerti ekonomi tonton dulu video ini   https://youtu.be/gp8e4Kp56cgÂ   dan kalau kalian bener2 ngerti ekonomi bantah tu si ahli ekonom #JokowiMenangTotalDebat,Tolong yang bilang jokowi gak ngerti ekonomi tonton dulu video ini https://youtu.be/gp8e4Kp56cgÂ dan kalau kalian bener2 ngerti ekonomi bantah tu si ahli ekonom Jokowi Menang Total Debat
1517,netral,"Pada Debat ke-5 Prabowo dinilai tidak hargai SBY, Demokrat Walkout. #KoalisiPrabohongRetak pic.twitter.com/WPPmMs6d0y","Pada Debat ke-5 Prabowo dinilai tidak hargai SBY, Demokrat Walkout. Koalisi Prabohong Retak pic.twitter.com/WPPmMs6d0y"
1518,netral,Pemerintahan Jokowi fokus pada pertumbuhan ekonomi berkeadilan - ANTARA News  https://pemilu.antaranews.com/berita/829391/pemerintahan-jokowi-fokus-pada-pertumbuhan-ekonomi-berkeadilan#.XLKLQxssE-8.twitterÂ â€¦ @jokowi #2019PilihJokowi #JokowiSatukanIndonesia #JokowiPutihMenang #JokowiNyataKerjanya #JokowiKHMakrufAminMenang2019 #JokowiMenangTotalDebat #DebatPilpres2019,Pemerintahan Jokowi fokus pada pertumbuhan ekonomi berkeadilan - ANTARA News https://pemilu.antaranews.com/berita/829391/pemerintahan-jokowi-fokus-pada-pertumbuhan-ekonomi-berkeadilan#.XLKLQxssE-8.twitterÂ â€¦ @jokowi 2019Pilih Jokowi Jokowi Satukan Indonesia Jokowi Putih Menang Jokowi Nyata Kerjanya Jokowi KHMakruf Amin Menang2019 Jokowi Menang Total Debat Debat Pilpres2019
1526,netral,"PS bolak-balik menyinggung soal deindustrialisasi. Meski begitu, dia mengatakan tak ingin menyalahkan @jokowi atas kondisi itu.Dia berujar salah arahnya pmbangunan ekonomi Indonesia saat ini tak terlepas dr andil presiden sblum Jokowi  https://bit.ly/2Za6qjLÂ  #PrabowoSalahkanSBY","PS bolak-balik menyinggung soal deindustrialisasi. Meski begitu, dia mengatakan tak ingin menyalahkan @jokowi atas kondisi itu.Dia berujar salah arahnya pmbangunan ekonomi Indonesia saat ini tak terlepas dr andil presiden sblum Jokowi https://bit.ly/2Za6qjLÂ Prabowo Salahkan SBY"
1527,positif,"MasyaaAllah, baru kali ini seumur2 saya ada kandidat capres cawapres yang berjanji di depan rakyat Indonesia TIDAK AKAN MENGAMBIL GAJINYA dan diserahkan kpd negara. Subhanallah. Bergetar hati saya sbg rakyat Indonesia. #17AprilPrabowoPresidenRI","MasyaaAllah, baru kali ini seumur2 saya ada kandidat capres cawapres yang berjanji di depan rakyat Indonesia TIDAK AKAN MENGAMBIL GAJINYA dan diserahkan kpd negara. Subhanallah. Bergetar hati saya sbg rakyat Indonesia. 17April Prabowo Presiden RI"
1552,netral,"Jokowi mengatakan dalam 4,5 tahun terakhir ini pemerintah telah bekerja keras mendukung ekonomi digital. Ada tiga hal pokok untuk mendukung ekonomi digital tersebut. #PemerintahBekerja #IndonesiaSATU #IndonesiaMAJU pic.twitter.com/jm6fw7KJZ4","Jokowi mengatakan dalam 4,5 tahun terakhir ini pemerintah telah bekerja keras mendukung ekonomi digital. Ada tiga hal pokok untuk mendukung ekonomi digital tersebut. Pemerintah Bekerja Indonesia SATU Indonesia MAJU pic.twitter.com/jm6fw7KJZ4"
1578,positif,"Secara ke Ilmuan sudah keliatan Pak Jkw lebih menguasai Ilmu ekonomi daripada Pak PS, akui saja gak Usah malu malu, Pak PS aja mengakui carut marut ekonomi kita karena presiden sebelum Pak Jkw ðŸ˜›ðŸ˜›ðŸ˜›ðŸ˜›ðŸ˜› #JokowiMenangTotalDebat #JokowiMenangTotalDebat pic.twitter.com/EjMeUNzw1q","Secara ke Ilmuan sudah keliatan Pak Jkw lebih menguasai Ilmu ekonomi daripada Pak PS, akui saja gak Usah malu malu, Pak PS aja mengakui carut marut ekonomi kita karena presiden sebelum Pak Jkw ðŸ˜›ðŸ˜›ðŸ˜›ðŸ˜›ðŸ˜› Jokowi Menang Total Debat Jokowi Menang Total Debat pic.twitter.com/EjMeUNzw1q"
1586,netral,"Bung Bowo menyebut kesalahan arah ekonomi Indonesia tidak semata salah Jokowi, tetapi juga presiden-presiden sebelumnya Makanya Coblos 01 SAJA !  https://www.cnnindonesia.com/nasional/20190413223315-32-386119/demokrat-kritik-prabowo-salahkan-presiden-sebelum-jokowiÂ â€¦ #PrabowoSalahkanSBY","Bung Bowo menyebut kesalahan arah ekonomi Indonesia tidak semata salah Jokowi, tetapi juga presiden-presiden sebelumnya Makanya Coblos 01 SAJA ! https://www.cnnindonesia.com/nasional/20190413223315-32-386119/demokrat-kritik-prabowo-salahkan-presiden-sebelum-jokowiÂ â€¦ Prabowo Salahkan SBY"
1587,netral,"Kata Wowo pakar kesalahan arah ekonomi yang mengakibatkan terjadinya deindustrialisasi adalah salah semua pihak. Termasuk presiden sebelum @jokowi  Lah, Malah ngehoaks dengan menyalahkan Presiden terdahulu. #PrabowoSalahkanSBY @Adji1984","Kata Wowo pakar kesalahan arah ekonomi yang mengakibatkan terjadinya deindustrialisasi adalah salah semua pihak. Termasuk presiden sebelum @jokowi Lah, Malah ngehoaks dengan menyalahkan Presiden terdahulu. Prabowo Salahkan SBY @Adji1984"
1589,positif,Kenapa diangkat tema esport game Mobile legends? Jokowi tahu potensi suara di kalangan gamers sangat besar!! Dan potensi ekonomi di dalamnya sangat besar  02 kalah set #JokowiMenangTotalDebat https://www.pikiran-rakyat.com/ekonomi/2018/08/06/gamer-indonesia-diprediksi-capai-34-juta-orang-428379Â â€¦,Kenapa diangkat tema esport game Mobile legends? Jokowi tahu potensi suara di kalangan gamers sangat besar!! Dan potensi ekonomi di dalamnya sangat besar 02 kalah set Jokowi Menang Total Debat https://www.pikiran-rakyat.com/ekonomi/2018/08/06/gamer-indonesia-diprediksi-capai-34-juta-orang-428379Â â€¦
1592,negatif,"Prabowo : â€œKekayaan Indonesia dikiasai oleh 1% Elite!â€  Dan dengan bangga nya dia mengakui hal yang selama ini dia koar2kan yg dia anggap merusak ekonomi / kekayaan negara!  Harusnya malu woi ! Atau emang udah gapunya mau?! #BeraniPilih02 , Auto hancur bangsa ini!","Prabowo : â€œKekayaan Indonesia dikiasai oleh 1% Elite!â€ Dan dengan bangga nya dia mengakui hal yang selama ini dia koar2kan yg dia anggap merusak ekonomi / kekayaan negara! Harusnya malu woi ! Atau emang udah gapunya mau?! Berani Pilih02 , Auto hancur bangsa ini!"
1599,netral,Program ekonomi Pak Jokowi ini berpihak pada masyarakat sehingga kemiskinan bisa diatasi. #JokowiPutihkanGBK,Program ekonomi Pak Jokowi ini berpihak pada masyarakat sehingga kemiskinan bisa diatasi. Jokowi Putihkan GBK
1603,netral,"Perlu kita ingat bahwa dasar negara kita Pancasila, NKRI, Bhinneka Tunggal Ika, UUD 1945 sudah final, harga mati dan tidak bisa diganggu gugat,"" kata Jokowi #JokowiMenangTotalDebat","Perlu kita ingat bahwa dasar negara kita Pancasila, NKRI, Bhinneka Tunggal Ika, UUD 1945 sudah final, harga mati dan tidak bisa diganggu gugat,"" kata Jokowi Jokowi Menang Total Debat"
1606,positif,Kalimat penutup yang luarbiasa: Jika nanti Prabowo Sandi menang terpilih menjadi Presiden dan Wakil Presiden maka tidak akan ambil gaji. Maa syaa Allah....  #TPStuhTusukPrabowoSandi,Kalimat penutup yang luarbiasa: Jika nanti Prabowo Sandi menang terpilih menjadi Presiden dan Wakil Presiden maka tidak akan ambil gaji. Maa syaa Allah.... TPStuh Tusuk Prabowo Sandi
1607,positif,"Salut sama Pak @prabowo @sandiuno dgn tdk akan mengambil gaji 1 rupiahpun apabila diberi amanah jd presiden. Rela berkorban jiwa, raga dan harta utk NKRI. Sdgkan bnyk sekali pejabat yg serakah hingga korupsi besar2an. #PrabowoSandimenang semangat @Gerindra @fadlizon @Dahnilanzar","Salut sama Pak @prabowo @sandiuno dgn tdk akan mengambil gaji 1 rupiahpun apabila diberi amanah jd presiden. Rela berkorban jiwa, raga dan harta utk NKRI. Sdgkan bnyk sekali pejabat yg serakah hingga korupsi besar2an. Prabowo Sandimenang semangat @Gerindra @fadlizon @Dahnilanzar"
1615,positif,"Pertama dalam sejarah, Capres dan Cawapres siap tak ambil gajinya dan akan menyerahkan kepada negara untuk disumbangkan kepada kaum dhuafa dan yatim piatu. Luar biasa ! Rakyat yakin ke TPS ( Tusuk Prabowo Sandi ) 02 #HoaxJkwMenangTotalDebat","Pertama dalam sejarah, Capres dan Cawapres siap tak ambil gajinya dan akan menyerahkan kepada negara untuk disumbangkan kepada kaum dhuafa dan yatim piatu. Luar biasa ! Rakyat yakin ke TPS ( Tusuk Prabowo Sandi ) 02 Hoax Jkw Menang Total Debat"
1619,netral,Closing Statement: Kyai Ma'ruf optimis akan sukses dlm membangun ekonomi bangsa ini Jokowi positifisme pilpres akan membawa Indonesia ke puncak kejayaan  Sandi mengemis suara Prabowo coba meraih simpati dg kembali menyerang dg senjata hoax #JokowiMenangTotalDebat pic.twitter.com/zK7rKlFe13,Closing Statement: Kyai Ma'ruf optimis akan sukses dlm membangun ekonomi bangsa ini Jokowi positifisme pilpres akan membawa Indonesia ke puncak kejayaan Sandi mengemis suara Prabowo coba meraih simpati dg kembali menyerang dg senjata hoax Jokowi Menang Total Debat pic.twitter.com/zK7rKlFe13
